PepperName,ScovilleHeatUnits(SHU)
Pure Capsaicin,16000000
Police Grade Pepper Spray,5300000
Trinidad Moruga Scorpion,2009231
Pepper Spray,2000000
7-Pot Douglah,1853936
Carolina Reaper,1569383
7 Pot Primo,1469000
Trinidad Scorpion Butch T,1463700
7 Pot Brain Strain,1400000
Naga Viper Pepper,1382118
7 Pot Barrackpore,1300000
Trinidad 7 Pot Jonah,1200000
New Mexico Scorpion,1191595
Infinity Chilli,1176182
Naga Jolokia,1100000
Spanish Naga Chilli Pepper,1086844
7 Pot Madballz,1066882
Bhut Jolokia Pepper (Ghost Pepper),1041427
Chocolate Bhut Jolokia (Ghost Pepper),1001304
Bhut Jolokia Indian Carbon (Ghost Pepper),1000000
Trinidad Scorpion,1000000
Raja Mirch,900000
Trinidad 7 Pot CARDI Strain,850000
Nagabon Jolokia,800000
Trinidad Yellow Scorpion,600000
Red Savina Habanero Pepper,577000
DevilÕs Tongue Ð Red,500000
Pingo de Ouro,500000
DevilÕs Tongue Ð Chocolate,500000
Fatalii,500000
Habanero Chilli Pepper Ð Chocolate,500000
Congo Pepper Ð Black,500000
Aji Chombo,500000
Jamaican Hot Pepper Ð Chocolate,500000
Aribibi Gusano,470000
Caribbean Red Habanero,400000
DevilÕs Tongue Ð Yellow,400000
Congo Pepper Ð Red,400000
Fatalli Pepper,400000
Guyana Wiri Wiri,350000
Chocolate Habanero,350000
Zimbabwe Bird Chilli,350000
Rocoto Pepper,350000
Datil Pepper,350000
Adjuma,350000
Jamaican Hot Pepper,350000
Habanero Chilli Pepper Ð Orange,350000
Habanero,350000
Madame Jeanette Chilli,350000
Tiger Paw,348634
Scotch Bonnet Pepper,325000
Big Sun Habanero,325000
Orange Rocoto Pepper,300000
DevilÕs Tongue,300000
Paper Lantern Habanero,300000
White Habanero,300000
Congo Pepper Ð Yellow,300000
Red Cheese,300000
Piri Piri,300000
Red Rocoto,300000
Yellow Habanero,300000
Thai Burapa,300000
Mustard Habanero,300000
Tepin Pepper,300000
Texas Chiltepin,265000
Pimenta de Neyde,250000
Quintisho,240000
Maori,240000
BirdÕs Eye Chilli Pepper,225000
Madame Jeanette,225000
Jamaican Hot Pepper Ð Red,200000
Ecuador Hot,186000
Shogaol,160000
Sparkler,160000
Jamaican Gold,150000
Thai Dragon,150000
Orange Thai,150000
Yellow Thai,150000
Red Thai Chilli Pepper,150000
Cajamarca,150000
Kumataka,150000
Carolina Cayenne Pepper,125000
Tabiche Pepper,115000
Bahamian Pepper,110000
Aji Cito,108000
