"País","Aérea","Marítima","Região","Continente","Ano"
"África do Sul","Sim","Sim","África","África","2006"
"Angola","Sim","Sim","África","África","2006"
"Cabo Verde","Sim","Não","África","África","2006"
"Nigéria","Sim","Sim","África","África","2006"
"Outros","Sim","Sim","África","África","2006"
"Costa Rica","Sim","Sim","América Central","América","2006"
"Panamá","Sim","Sim","América Central","América","2006"
"Porto Rico","Sim","Sim","América Central","América","2006"
"Outros","Sim","Sim","América Central","América","2006"
"Canadá","Sim","Sim","América do Norte","América","2006"
"Estados Unidos","Sim","Sim","América do Norte","América","2006"
"México","Sim","Sim","América do Norte","América","2006"
"Argentina","Sim","Sim","América do Sul","América","2006"
"Bolívia","Sim","Sim","América do Sul","América","2006"
"Chile","Sim","Sim","América do Sul","América","2006"
"Colômbia","Sim","Sim","América do Sul","América","2006"
"Equador","Sim","Sim","América do Sul","América","2006"
"Guiana Francesa","Sim","Sim","América do Sul","América","2006"
"Paraguai","Sim","Sim","América do Sul","América","2006"
"Peru","Sim","Sim","América do Sul","América","2006"
"República da Guiana","Sim","Não","América do Sul","América","2006"
"Suriname","Sim","Não","América do Sul","América","2006"
"Uruguai","Sim","Sim","América do Sul","América","2006"
"Venezuela","Sim","Sim","América do Sul","América","2006"
"China","Sim","Sim","Ásia","Ásia","2006"
"Japão","Sim","Sim","Ásia","Ásia","2006"
"República da Coréia","Sim","Sim","Ásia","Ásia","2006"
"Outros","Sim","Sim","Ásia","Ásia","2006"
"Alemanha","Sim","Sim","Europa","Europa","2006"
"Áustria","Sim","Sim","Europa","Europa","2006"
"Bélgica","Sim","Sim","Europa","Europa","2006"
"Dinamarca","Sim","Sim","Europa","Europa","2006"
"Espanha","Sim","Sim","Europa","Europa","2006"
"Finlândia","Sim","Sim","Europa","Europa","2006"
"França","Sim","Sim","Europa","Europa","2006"
"Grécia","Sim","Sim","Europa","Europa","2006"
"Holanda","Sim","Sim","Europa","Europa","2006"
"Hungria","Sim","Sim","Europa","Europa","2006"
"Inglaterra","Sim","Sim","Europa","Europa","2006"
"Irlanda","Sim","Sim","Europa","Europa","2006"
"Itália","Sim","Sim","Europa","Europa","2006"
"Noruega","Sim","Sim","Europa","Europa","2006"
"Polônia","Sim","Sim","Europa","Europa","2006"
"Portugal","Sim","Sim","Europa","Europa","2006"
"Suécia","Sim","Sim","Europa","Europa","2006"
"Suíça","Sim","Sim","Europa","Europa","2006"
"Outros","Sim","Sim","Europa","Europa","2006"
"Austrália","Sim","Sim","Oceania","Oceania","2006"
"Nova Zelândia","Sim","Sim","Oceania","Oceania","2006"
"Arábia Saudita","Sim","Não","Oriente Médio","Ásia","2006"
"Iraque","Sim","Sim","Oriente Médio","Ásia","2006"
"Israel","Sim","Sim","Oriente Médio","Ásia","2006"
"Outros","Sim","Sim","Oriente Médio","Ásia","2006"
"Países não especificados","Sim","Sim","Desconhecido","Ásia","2006"
"África do Sul","Sim","Sim","África","África","2007"
"Angola","Sim","Sim","África","África","2007"
"Cabo Verde","Sim","Não","África","África","2007"
"Nigéria","Sim","Sim","África","África","2007"
"Outros","Sim","Sim","África","África","2007"
"Costa Rica","Sim","Sim","América Central e Caribe","América","2007"
"Cuba","Não","Não","América Central e Caribe","América","2007"
"Guatemala","Não","Não","América Central e Caribe","América","2007"
"Panamá","Sim","Sim","América Central e Caribe","América","2007"
"Outros","Sim","Sim","América Central e Caribe","América","2007"
"Canadá","Sim","Sim","América do Norte","América","2007"
"Estados Unidos","Sim","Sim","América do Norte","América","2007"
"México","Sim","Sim","América do Norte","América","2007"
"Argentina","Sim","Sim","América do Sul","América","2007"
"Bolívia","Sim","Sim","América do Sul","América","2007"
"Chile","Sim","Sim","América do Sul","América","2007"
"Colômbia","Sim","Sim","América do Sul","América","2007"
"Equador","Sim","Sim","América do Sul","América","2007"
"Guiana Francesa","Sim","Sim","América do Sul","América","2007"
"Paraguai","Sim","Sim","América do Sul","América","2007"
"Peru","Sim","Sim","América do Sul","América","2007"
"República da Guiana","Não","Não","América do Sul","América","2007"
"Suriname","Sim","Não","América do Sul","América","2007"
"Uruguai","Sim","Sim","América do Sul","América","2007"
"Venezuela","Sim","Sim","América do Sul","América","2007"
"China","Sim","Sim","Ásia","Ásia","2007"
"índia","Não","Não","Ásia","Ásia","2007"
"Israel","Sim","Sim","Ásia","Ásia","2007"
"Japão","Sim","Sim","Ásia","Ásia","2007"
"República da Coréia","Sim","Sim","Ásia","Ásia","2007"
"Outros","Sim","Sim","Ásia","Ásia","2007"
"Alemanha","Sim","Sim","Europa","Europa","2007"
"Áustria","Sim","Sim","Europa","Europa","2007"
"Bélgica","Sim","Sim","Europa","Europa","2007"
"Dinamarca","Sim","Sim","Europa","Europa","2007"
"Espanha","Sim","Sim","Europa","Europa","2007"
"Finlândia","Sim","Sim","Europa","Europa","2007"
"França","Sim","Sim","Europa","Europa","2007"
"Grécia","Sim","Sim","Europa","Europa","2007"
"Holanda","Sim","Sim","Europa","Europa","2007"
"Hungria","Sim","Sim","Europa","Europa","2007"
"Inglaterra","Sim","Sim","Europa","Europa","2007"
"Irlanda","Sim","Sim","Europa","Europa","2007"
"Itália","Sim","Sim","Europa","Europa","2007"
"Noruega","Sim","Sim","Europa","Europa","2007"
"Polônia","Sim","Sim","Europa","Europa","2007"
"Portugal","Sim","Sim","Europa","Europa","2007"
"República Tcheca","Não","Não","Europa","Europa","2007"
"Rússia","Não","Não","Europa","Europa","2007"
"Suécia","Sim","Sim","Europa","Europa","2007"
"Suíça","Sim","Sim","Europa","Europa","2007"
"Outros","Sim","Sim","Europa","Europa","2007"
"Austrália","Sim","Sim","Oceania","Oceania","2007"
"Nova Zelândia","Sim","Sim","Oceania","Oceania","2007"
"Outros","Sim","Não","Oceania","Oceania","2007"
"Países não especificados","Sim","Sim","Desconhecido","Oceania","2007"
"África do Sul","Sim","Sim","África","África","2008"
"Angola","Sim","Não","África","África","2008"
"Cabo Verde","Sim","Não","África","África","2008"
"Nigéria","Sim","Não","África","África","2008"
"Outros","Sim","Sim","África","África","2008"
"Costa Rica","Sim","Sim","América Central e Caribe","América","2008"
"Cuba","Sim","Sim","América Central e Caribe","América","2008"
"Guatemala","Sim","Sim","América Central e Caribe","América","2008"
"Panamá","Sim","Sim","América Central e Caribe","América","2008"
"Outros","Sim","Sim","América Central e Caribe","América","2008"
"Canadá","Sim","Sim","América do Norte","América","2008"
"Estados Unidos","Sim","Sim","América do Norte","América","2008"
"México","Sim","Sim","América do Norte","América","2008"
"Argentina","Sim","Sim","América do Sul","América","2008"
"Bolívia","Sim","Sim","América do Sul","América","2008"
"Chile","Sim","Sim","América do Sul","América","2008"
"Colômbia","Sim","Sim","América do Sul","América","2008"
"Equador","Sim","Sim","América do Sul","América","2008"
"Guiana Francesa","Não","Não","América do Sul","América","2008"
"Paraguai","Sim","Não","América do Sul","América","2008"
"Peru","Sim","Sim","América do Sul","América","2008"
"República da Guiana","Sim","Não","América do Sul","América","2008"
"Suriname","Sim","Não","América do Sul","América","2008"
"Uruguai","Sim","Sim","América do Sul","América","2008"
"Venezuela","Sim","Sim","América do Sul","América","2008"
"China","Sim","Sim","Ásia","Ásia","2008"
"índia","Sim","Sim","Ásia","Ásia","2008"
"Israel","Sim","Sim","Ásia","Ásia","2008"
"Japão","Sim","Sim","Ásia","Ásia","2008"
"República da Coréia","Sim","Sim","Ásia","Ásia","2008"
"Outros","Sim","Sim","Ásia","Ásia","2008"
"Alemanha","Sim","Sim","Europa","Europa","2008"
"Áustria","Sim","Sim","Europa","Europa","2008"
"Bélgica","Sim","Sim","Europa","Europa","2008"
"Dinamarca","Sim","Sim","Europa","Europa","2008"
"Espanha","Sim","Sim","Europa","Europa","2008"
"Finlândia","Sim","Sim","Europa","Europa","2008"
"França","Sim","Sim","Europa","Europa","2008"
"Grécia","Sim","Sim","Europa","Europa","2008"
"Holanda","Sim","Sim","Europa","Europa","2008"
"Hungria","Sim","Sim","Europa","Europa","2008"
"Inglaterra","Sim","Sim","Europa","Europa","2008"
"Irlanda","Sim","Sim","Europa","Europa","2008"
"Itália","Sim","Sim","Europa","Europa","2008"
"Noruega","Sim","Sim","Europa","Europa","2008"
"Polônia","Sim","Sim","Europa","Europa","2008"
"Portugal","Sim","Sim","Europa","Europa","2008"
